,ref,res100,cfe80,cfe85,cfe90,cfe95,cfe98,cfe99,cfe100
ci_average cost,138.55760508748457,105.55778253573177,95.42773483516889,95.42738992628543,95.4277982479562,95.4260712398424,99.41605867395296,103.88743805338768,116.86019404298908
ci_average_revenue,0.0,24.86726715331996,25.709514433361292,25.70922941234351,25.70962488916764,25.70782307285765,26.862407116934204,27.094572738706766,27.555301985377092
ci_cap_H2_Electrolysis,0.0,0.0,0.005869863429965873,0.009785191857524203,0.012073054608456455,0.012400243879117074,769.641475690867,1750.434035369354,2447.2489656398934
ci_cap_H2_Fuel_Cell,0.0,0.0,0.0018379072452459806,0.0030817246905548165,0.0037990458295499253,0.003925277957831156,384.1265306433125,978.8933839444084,2598.6624835565344
ci_cap_battery_charger,0.0,0.0,5998.1766469327895,5997.774519513091,5997.755218551594,5996.845631119075,6174.78573006218,5446.947614270231,4348.548512945487
ci_cap_battery_discharger,0.0,0.0,6121.862762179871,6121.452342643867,6121.432643684598,6120.504299996198,6302.113633921938,5559.26704566076,4438.218274973043
ci_cap_onwind,0.0,17909.059936633363,9576.939935312519,9576.943896160923,9576.791046822062,9577.126933636775,11571.260652972742,13777.249591453407,14701.853324359387
ci_cap_solar,0.0,10439.276251093159,19729.399389441252,19729.337738584178,19730.58414535687,19727.798043279287,20065.15764312383,18755.586702487202,20181.515165490262
ci_capital_cost_battery_inverter,0.0,0.0,142788793.47564742,142779220.68503752,142778761.21857506,142757108.15637052,146993037.42864624,129666584.32182337,103518791.1398576
ci_capital_cost_battery_storage,0.0,0.0,388778544.8433497,388780639.0257465,388783797.8917686,388773352.36280483,428502866.6002685,371334870.85205483,298589190.2829205
ci_capital_cost_grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_capital_cost_hydrogen_electrolysis,0.0,0.0,390.724710565806,651.3467139361118,803.6372266265391,825.4164272168756,51230824.43342334,116516821.89788237,162899981.43750247
ci_capital_cost_hydrogen_fuel_cell,0.0,0.0,388.92920669344704,652.1399500684158,803.9360443791865,830.6486881421603,81287032.96613567,207148771.10352108,549916618.9196872
ci_capital_cost_hydrogen_storage,0.0,0.0,227.16811018946956,409.05534014185366,466.4122497442002,490.5438148695688,35211186.253908105,87401974.91404478,238062844.4365171
ci_capital_cost_onwind,0.0,1959021338.3803754,1047594332.4801484,1047594765.7461361,1047578045.9899095,1047614787.6971589,1265747426.7963252,1507054308.2298286,1608194091.5974567
ci_capital_cost_solar,0.0,500990719.3487534,946832496.3045202,946829537.6217062,946889353.8590231,946755646.1909382,962945851.7703364,900098306.4226341,968529959.081022
ci_clean_excess_total,0.0,6729431.404052393,6729430.168484941,6729429.589585889,6729426.298309753,6729429.681359591,6729430.004545981,6729429.816133847,6729431.23174465
ci_clean_total,0.0,33647160.00002799,35869437.89514559,35869448.102991916,35869684.284419104,35869147.60800668,38007757.40091766,39274380.31869592,40361636.83469476
ci_clean_used_grid_total,28069948.743135817,4715947.778293196,3134511.3029380846,3135898.661414494,3140495.4556247224,3143619.040422882,1695890.3950435808,765739.2499594581,14954.502329741692
ci_clean_used_local_total,0.0,26917728.595975604,29140007.726660646,29140018.513406023,29140257.986109346,29139717.926647082,31278327.396371678,32544950.50256207,33632205.6029501
ci_clean_used_total,28069948.743135817,31633676.3742688,32274519.02959873,32275917.174820516,32280753.441734068,32283336.967069965,32974217.79141526,33310689.752521526,33647160.10527985
ci_cost_battery_inverter,0.0,0.0,142788793.47564742,142779220.68503752,142778761.21857506,142757108.15637052,146993037.42864624,129666584.32182337,103518791.1398576
ci_cost_battery_storage,0.0,0.0,388778544.8433497,388780639.0257465,388783797.8917686,388773352.36280483,428502866.6002685,371334870.85205483,298589190.2829205
ci_cost_grid,4662069907.5954075,1091250323.6441464,684426120.9629397,684423813.2270561,684391396.6647222,684462273.9022281,372637603.34692127,175729799.85947555,1696908.486706253
ci_cost_hydrogen_electrolysis,0.0,0.0,390.724710565806,651.3467139361118,803.6372266265391,825.4164272168756,51230824.43342334,116516821.89788237,162899981.43750247
ci_cost_hydrogen_fuel_cell,0.0,0.0,388.92920669344704,652.1399500684158,803.9360443791865,830.6486881421603,81287032.96613567,207148771.10352108,549916618.9196872
ci_cost_hydrogen_storage,0.0,0.0,227.16811018946956,409.05534014185366,466.4122497442002,490.5438148695688,35211186.253908105,87401974.91404478,238062844.4365171
ci_cost_onwind,0.0,1959383574.135467,1047860580.610316,1047861015.4205892,1047844282.7393886,1047881055.8732766,1266070923.5838294,1507443207.126336,1608609200.6153526
ci_cost_solar,0.0,501085700.4453592,947017215.7222209,947014256.33168,947074083.5967277,946940350.2747655,963134558.1587505,900275220.097285,968720111.2769568
ci_demand_total,33647160.0,33647160.0,33647160.0,33647160.0,33647160.0,33647160.0,33647160.0,33647160.0,33647160.0
ci_emission_rate_local,0.10713220577943404,0.029088681146443075,0.0194600204335624,0.019465219743321056,0.01945519166311692,0.0194726569046108,0.009349604099808404,0.004370898842126733,4.0353127180708366e-05
ci_emission_rate_myopic,0.09640970713412962,0.026867291740189113,0.018970462068448594,0.01897541848473381,0.018984198588725694,0.01898062316492552,0.009293209086714936,0.004481671531151015,1.9836979107635952e-05
ci_emission_rate_true,0.10476866088249658,0.03318311539014992,0.020177720485656445,0.020181819329922336,0.02017804067400967,0.02018775043830019,0.009998550865730826,0.004873780674840088,2.6210472531512144e-05
ci_emissions,3525167.8956991043,1116517.5928308368,678922.9896161602,679060.9040849897,678933.7630449112,679260.4690375566,336422.8407473836,163988.8781712524,881.9079629433941
ci_fraction_clean,0.0,1.000000000000832,1.0660465220584914,1.0660468254376274,1.0660538447946009,1.0660378946694662,1.1295977848031649,1.1672420590235824,1.1995555296403844
ci_fraction_clean_excess,0.0,0.19999998228832366,0.19999994556702383,0.19999992836203379,0.1999998305446805,0.19999993108956568,0.1999999406947267,0.19999993509508224,0.19999997716730475
ci_fraction_clean_used,0.8342442198133756,0.940158883372885,0.9592048490748917,0.9592464022170226,0.9593901369902859,0.9594669198550476,0.9800000294650503,0.9900000401971972,1.000000003128937
ci_fraction_clean_used_grid,0.8342442198133756,0.14015886566037658,0.09315827258342411,0.09319950514142929,0.09333612274036568,0.0934289562751472,0.05040218535661199,0.022757916268697213,0.0004444506558574837
ci_fraction_clean_used_local,0.0,0.8000000177125084,0.8660465764914675,0.8660468970755935,0.8660540142499202,0.8660379635799004,0.9295978441084382,0.9672421239285001,0.9995555524730796
ci_generation_H2_Fuel_Cell,-0.0,-0.0,7.361363047399348,12.438680350104818,15.326645855530089,15.637175290859684,1048528.1837514997,2067250.6544401953,3124365.6649117083
ci_generation_battery_discharger,-0.0,-0.0,8456780.51467543,8457071.29640447,8457054.99439622,8458634.08147936,9454961.664217157,7936386.860300681,6301748.647374265
ci_generation_onwind,0.0,24149050.33944951,17749875.344506115,17749978.296872307,17749116.63193939,17751211.741175424,21566452.500274837,25926593.1005072,27673934.526398942
ci_generation_solar,0.0,9498109.660578486,18471941.770060774,18471870.997379214,18472973.770467464,18470408.382730037,18870638.8414149,17691367.46509271,19015219.593483195
ci_marginal_cost_grid,4662069907.5954075,1091250323.6441464,684426120.9629397,684423813.2270561,684391396.6647222,684462273.9022281,372637603.34692127,175729799.85947555,1696908.486706253
ci_marginal_cost_onwind,0.0,362235.75509174366,266248.13016759243,266249.67445308535,266236.74947909155,266268.1761176321,323496.78750412347,388898.89650760905,415109.0178959853
ci_marginal_cost_solar,0.0,94981.09660578439,184719.41770060683,184718.70997379124,184729.73770467375,184704.08382729947,188706.38841414807,176913.67465092626,190152.19593483102
ci_revenue_grid,0.0,836712916.6705012,865052145.6616167,865042555.513828,865055862.1858058,864995236.184133,903843710.2486238,911655424.0709047,927157654.7503006
ci_total_cost,4662069907.5954075,3551719598.2249727,3210872262.4365015,3210860657.232114,3210874396.096702,3210816287.1783757,3345068032.771883,3495517250.172424,3932013646.5955005
co2_price,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
emissions,310042781.842063,296504601.7379949,296182154.45380086,296182043.72051346,296181861.41990227,296181797.1199956,295305501.4583485,294703456.3588998,294135175.5549303
emissions_zone,50.37624040568102,47.40258745974408,45.300911912431346,45.3087956496429,45.29868569377846,45.30782268153475,44.568706255237856,44.350235997182295,43.768680449269695
objective,167025428005.72858,165126197061.3136,164740190102.96622,164740226566.25455,164740237441.76917,164740242763.8264,164837615931.7147,164982545105.0261,165398333309.69223
system_emission_rate,0.09747089637488654,0.0932147787443197,0.09311340813463338,0.0931133733224288,0.09311331601097042,0.09311329579643901,0.09283780696511491,0.09264853671294918,0.09246988124151279
system_emissions,103347593.947354,98834867.2459986,98727384.81793347,98727347.90683779,98727287.13996737,98727265.7066651,98435167.15278283,98234485.45296645,98045058.51831031
system_grid_cfe_wavg,0.8289173002658219,0.851814605889113,0.8503240196951413,0.8507551810070644,0.8519212275792066,0.8526546351323412,0.8527332654408069,0.8526833702124874,0.8526045502173872
system_inv_H2_Electrolysis-2030,7940.016777404292,7856.995211657127,8003.037971663353,8003.0385933622165,8002.953861660328,8002.706017296151,8004.1934487271465,7965.40706805971,8005.479080085875
system_inv_H2_Fuel_Cell-2030,1740.3675246155683,1727.032703001615,1759.0459589015288,1759.0519160304752,1759.034028352159,1758.9797292211701,1757.9212526983024,1749.9226780994143,1758.915855239561
system_inv_OCGT-2030,70720.46339524086,68712.35077693664,67534.95348035354,67534.72973255311,67534.6278991939,67534.4486744983,66870.77168774734,66418.11394325379,66085.01376972567
system_inv_battery_charger-2030,27989.186276097913,27851.521404989995,23601.027291284103,23601.750093407503,23601.817898008863,23602.91862041056,23659.18688212292,24155.63483420251,23843.175491337926
system_inv_battery_discharger-2030,28566.34062202531,28425.837016062524,24087.695082735696,24088.432789486287,24088.5019922605,24089.625412239446,24147.053960337576,24653.738976483382,24334.836528560976
system_inv_offwind-ac-2030,1084.1135597591135,1084.078114516877,1084.0711445909456,1084.0972311773037,1084.093365936786,1084.0976539031492,1084.0837914617405,1084.1019525051756,1084.075421983307
system_inv_offwind-dc-2030,54354.44554358887,54838.47612970853,54825.3516748535,54825.3917347025,54825.38939119127,54825.369370336724,54902.41038727521,54912.568556136444,54927.36149032531
system_inv_onwind-2030,221381.42672303505,223628.60056637455,224188.79574292368,224188.63849352152,224189.42939536105,224189.9976965464,223825.89383033174,223916.30116278224,224114.1807668785
system_inv_solar-2030,392832.7087709205,389672.1033133291,388553.08844632114,388553.66703794943,388553.25563224044,388553.36464310694,389197.117833399,389095.6027170366,388651.53430979914
system_inv_solar_rooftop-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zone_average_marginal_price,138.55760508748457,134.49413450187478,134.40177724912962,134.40172431463952,134.40158290261334,134.40199970284817,134.1573105875376,134.05664490587688,133.9760904799257
