,ref,res100,cfe80,cfe85,cfe90,cfe95,cfe98,cfe99,cfe100
ci_average cost,117.06593985827492,99.22201443805005,86.762183221625,86.76218557385002,88.39554539394206,91.31136167875621,94.68780368784687,96.56225271176713,101.80288154791577
ci_average_revenue,0.0,23.411359925514617,22.71735075034265,22.71734658220531,22.733705297220055,22.715255976048713,22.71879325151245,22.75120091866106,22.85845250335091
ci_cap_H2_Electrolysis,0.0,0.0,0.0020732781321961087,0.002365810586168034,0.0009802649296987269,0.0024207084279023374,0.0014376885015221828,0.0009174692183362837,0.6462513782995217
ci_cap_H2_Fuel_Cell,0.0,0.0,0.0006700777446293766,0.0007672888226945074,0.0003212284377859791,0.0009289791125918255,0.0007221720761026607,0.0006427460740569553,46.637321636130864
ci_cap_adv_geothermal,0.0,0.0,0.0008688916936381698,0.0009970256169827415,0.0007833766274080484,0.005752420916594752,334.95114756278923,830.0252390674041,1994.7079277073985
ci_cap_allam_ccs,0.0,0.0,0.0010585151388469828,0.0011929701815350387,505.8273673359124,1104.8857980725834,1330.1782726029594,1155.671153448924,659.1333816842508
ci_cap_battery_charger,0.0,0.0,0.012915628096087846,0.014278850998697546,0.300184119719386,123.88084891113571,204.8201386770712,189.01800652013537,73.1208457228559
ci_cap_battery_discharger,0.0,0.0,0.01318195634202206,0.014573289744699455,0.3063741020777652,126.43534869619361,209.04365671738935,192.915674814079,74.62864282244048
ci_cap_onwind,0.0,12829.366441358998,7825.113436089411,7825.113897839463,7863.08559130312,8006.052338939995,7452.77509794316,6588.28991614013,4358.115953246519
ci_cap_solar,0.0,6759.124359349752,5296.07632663698,5296.076614420635,5239.192431575976,5068.56899794761,4612.514612082337,3794.5629164012093,1633.8058428141974
ci_capital_cost_adv_geothermal,0.0,0.0,700.2085663097835,803.467086810858,631.2950499747839,4635.669131504607,269925083.34004676,668887488.3989235,1607463379.4904082
ci_capital_cost_allam_ccs,0.0,0.0,270.3643211427607,304.70662292615737,129197654.11590703,282208244.1461936,339752104.1247357,295179762.10225666,168354842.30835912
ci_capital_cost_battery_inverter,0.0,0.0,410.60036003351286,453.9385399852117,9543.144686123107,3938292.492300606,6511431.117189972,6009065.989867954,2324582.6959707597
ci_capital_cost_battery_storage,0.0,0.0,732.5930285098922,816.2540399798852,30139.06492481519,12445180.972659586,20576451.47299747,19780040.71611436,10325250.893493112
ci_capital_cost_grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_capital_cost_hydrogen_electrolysis,0.0,0.0,175.12478165590076,199.83428943179842,82.80060408324827,204.47137714222373,121.43806516281549,77.49640245660679,54587.288488712824
ci_capital_cost_hydrogen_fuel_cell,0.0,0.0,154.6894597739811,177.1309290967068,74.15654959953513,214.45761811955845,166.71559264807945,148.3798615378738,10766365.764302097
ci_capital_cost_hydrogen_storage,0.0,0.0,219.16500932510445,217.57176925113592,85.52537029617831,246.21527256980283,185.21215682005484,105.21994421061379,465657.21050912875
ci_capital_cost_onwind,0.0,1472567934.0133438,898174604.2310117,898174657.2311597,902533087.4350476,918942958.426147,855437225.1200362,756210722.8627673,500229051.434204
ci_capital_cost_solar,0.0,373787676.28514564,292879366.9588365,292879382.8736175,289733619.4000586,280297939.06854963,255077585.05680174,209843876.16384143,90351420.83779675
ci_clean_excess_total,0.0,4879319.547340961,4879318.791024063,4879318.808383664,4879319.580416271,4879318.851216221,4879319.238082591,4879319.581771676,4879319.976424949
ci_clean_total,0.0,24396600.000011418,21386700.910160374,21386703.240696296,24013361.23283257,26708082.83314062,28285948.863034762,28789177.8634047,29275919.976370532
ci_clean_used_grid_total,12993945.686655713,2461204.5008186037,4229155.697315466,4269504.986997063,2822898.755782481,1348007.1541027091,502039.10589321225,242776.1293864424,0.010907035332885694
ci_clean_used_local_total,0.0,19517280.452670455,16507382.119136311,16507384.432312638,19134041.652416296,21828763.9819244,23406629.624952175,23909858.281633027,24396599.99994558
ci_clean_used_total,12993945.686655713,21978484.953489058,20736537.816451777,20776889.4193097,21956940.408198778,23176771.13602711,23908668.730845388,24152634.41101947,24396600.010852616
